user_id,name,age,location,instrument,genres,skill_level,experience_years,purpose,frequency,available_days,communication_style,bio
1,Sora1,18,Nagoya,bass,funk,beginner,3,professional,monthly,"weekday_night,flexible",chat_mainly,bassとして活動しています。funkが好きで、professional目的の活動に興味があります。
2,Nao2,34,Tokyo,vocal,"funk,blues,pop",intermediate,18,original_band,monthly,flexible,voice_call_ok,monthlyくらいのペースで無理なく活動したいです。funk、blues、popが好きな方とつながりたいです。
3,Haru3,24,Fukuoka,bass,pop,intermediate,3,original_band,weekly,"weekday_night,sunday",voice_call_ok,Fukuoka周辺でpop系の音楽を一緒にできるメンバーを探しています。担当はbassです。
4,Shun4,20,Tokyo,bass,"anime,funk,citypop",beginner,1,live_performance,weekly,saturday,chat_mainly,Tokyoでバンド活動をしたいです。bass担当で、anime、funk、citypopを中心に演奏しています。
5,Kou5,32,Nagoya,violin,"jazz,anime",intermediate,6,original_band,monthly,saturday,chat_mainly,Nagoyaでバンド活動をしたいです。violin担当で、jazz、animeを中心に演奏しています。
6,Shun6,26,Nagoya,sax,"funk,anime,blues",beginner,7,hobby,weekly,"sunday,weekday_night",chat_mainly,weeklyくらいのペースで無理なく活動したいです。funk、anime、bluesが好きな方とつながりたいです。
7,Ren7,38,Nara,drums,"folk,jazz,citypop",beginner,7,professional,weekly,"flexible,saturday",chat_mainly,drumsとして活動しています。folk、jazz、citypopが好きで、professional目的の活動に興味があります。
8,Yu8,33,Osaka,violin,pop,beginner,20,live_performance,twice_or_more_weekly,flexible,voice_call_ok,Osakaでバンド活動をしたいです。violin担当で、popを中心に演奏しています。
9,Yu9,26,Tokyo,violin,pop,advanced,17,original_band,weekly,sunday,voice_call_ok,violinとして活動しています。popが好きで、original_band目的の活動に興味があります。
10,Daichi10,18,Nagoya,sax,"citypop,jazz",advanced,3,original_band,biweekly,sunday,chat_mainly,Nagoya周辺でcitypop、jazz系の音楽を一緒にできるメンバーを探しています。担当はsaxです。
11,Saki11,28,Nara,vocal,anime,intermediate,7,hobby,biweekly,weekday_night,in_person_mainly,Naraでバンド活動をしたいです。vocal担当で、animeを中心に演奏しています。
12,Yuki12,42,Tokyo,violin,jazz,advanced,15,professional,biweekly,"flexible,weekday_night",in_person_mainly,violinとして活動しています。jazzが好きで、professional目的の活動に興味があります。
13,Rina13,30,Nagoya,sax,"folk,citypop",beginner,7,live_performance,monthly,"weekday_night,sunday",in_person_mainly,saxとして活動しています。folk、citypopが好きで、live_performance目的の活動に興味があります。
14,Kenta14,25,Osaka,vocal,"rock,funk,citypop",beginner,10,hobby,biweekly,"flexible,weekday_night",in_person_mainly,vocalとして活動しています。rock、funk、citypopが好きで、hobby目的の活動に興味があります。
15,Kenta15,36,Nara,guitar,"blues,funk",beginner,3,cover_band,weekly,"flexible,saturday",in_person_mainly,Nara周辺でblues、funk系の音楽を一緒にできるメンバーを探しています。担当はguitarです。
16,Sora16,19,Nara,sax,"pop,funk",beginner,6,professional,twice_or_more_weekly,flexible,chat_mainly,twice_or_more_weeklyくらいのペースで無理なく活動したいです。pop、funkが好きな方とつながりたいです。
17,Daichi17,25,Fukuoka,vocal,"citypop,pop",beginner,20,professional,monthly,saturday,chat_mainly,Fukuokaでバンド活動をしたいです。vocal担当で、citypop、popを中心に演奏しています。
18,Kana18,33,Kyoto,violin,"rock,jazz",intermediate,0,cover_band,weekly,"sunday,saturday",in_person_mainly,Kyotoでバンド活動をしたいです。violin担当で、rock、jazzを中心に演奏しています。
